Foundation,Project,Repository URL,Check Sets,Adopters,Annual Review,Changelog,Code of Conduct,Contributing,Governance,Maintainers,Readme,Roadmap,Summary Table,Website,License Approved,License Scanning,License SPDX ID,Analytics,ArtifactHub Badge,CLA,Community Meeting,DCO,GitHub discussions,OpenSSF best practices badge,OpenSSF Scorecard badge,Recent Release,Slack Presence,Binary Artifacts,Code Review,Dangerous Workflow,Dependency Update Tool,Maintained,SBOM,Security Policy,Signed Releases,Token Permissions,Trademark Disclaimer
cncf,openfga,https://github.com/openfga/cli,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
cncf,openfga,https://github.com/openfga/dotnet-sdk,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
cncf,openfga,https://github.com/openfga/python-sdk,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
cncf,openfga,https://github.com/openfga/community,{community},t,f,,t,t,t,,t,t,t,t,,,"Not detected",HubSpot,,,t,,t,,,,f,,,,,,,t,,,t
cncf,openfga,https://github.com/openfga/openfga.dev,{docs},,,,,,,,t,,,,t,,Apache-2.0,,,,,,,,,,,,,,,,,,,,
cncf,openfunction,https://github.com/OpenFunction/OpenFunction,"{community,code}",f,t,t,t,f,t,t,t,t,t,t,t,f,Apache-2.0,GA3,f,t,t,t,t,f,f,t,t,t,t,t,t,t,f,f,f,f,t
cncf,openfunction,https://github.com/OpenFunction/cli,{code-lite},,,,,f,,f,t,,,,t,,Apache-2.0,,,t,,t,,,,f,,,,,,,,,,,
cncf,open-gitops,https://github.com/open-gitops/project,"{community,code}",t,f,f,t,t,t,t,t,f,f,f,f,f,"Not detected",,f,f,t,t,t,f,f,f,f,t,t,t,f,f,f,t,f,t,f
cncf,open-kruise,https://github.com/openkruise/kruise,"{community,code}",f,f,t,t,t,t,t,t,f,f,t,t,f,Apache-2.0,,f,f,t,t,t,t,f,t,t,t,t,t,t,t,f,t,f,f,t
cncf,open-metrics,https://github.com/OpenObservability/OpenMetrics,"{community,code}",t,f,f,t,f,f,t,t,f,f,t,t,f,Apache-2.0,,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f
cncf,open-telemetry,https://github.com/open-telemetry/opentelemetry.io,{docs},,,,,,,,t,,,,t,,CC-BY-4.0,,,,,,,,,,,,,,,,,,,,
cncf,open-telemetry,https://github.com/open-telemetry/opentelemetry-collector,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,f,t,,f,,f,f,t,,t,t,t,t,t,f,t,f,f,
cncf,open-telemetry,https://github.com/open-telemetry/opentelemetry-dotnet,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
cncf,open-telemetry,https://github.com/open-telemetry/opentelemetry-js,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
cncf,open-telemetry,https://github.com/open-telemetry/community,{community},t,f,,t,t,t,,t,t,t,t,,,"Not detected",GA4,,,t,,t,,,,t,,,,,,,t,,,f
cncf,open-telemetry,https://github.com/open-telemetry/opentelemetry-java-instrumentation,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
cncf,open-telemetry,https://github.com/open-telemetry/opentelemetry-dotnet-instrumentation,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
cncf,open-telemetry,https://github.com/open-telemetry/opentelemetry-specification,{docs},,,,,,,,t,,,,t,,Apache-2.0,,,,,,,,,,,,,,,,,,,,
cncf,openyurt,https://github.com/openyurtio/openyurt,"{community,code}",f,t,t,t,t,t,t,t,t,f,t,t,f,Apache-2.0,,f,f,t,f,t,t,t,t,f,t,t,t,t,t,f,t,f,f,t
cncf,operator-framework,https://github.com/operator-framework/community,{community},f,f,,t,f,t,,t,f,f,f,,,"Not detected",,,,t,,t,,,,t,,,,,,,f,,,f
cncf,operator-framework,https://github.com/operator-framework/operator-lifecycle-manager,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
