URL,Date,Security Score,Project,Foundation,Maturity,CheckSets,Slam22 Participant,SBOM,Maintained,Code Review,Security Policy,Signed Releases,Binary Artifacts,Token Permissions,Dangerous Workflow,Dependency Update Tool
https://github.com/argoproj/argo-workflows,2023-03,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-rollouts,2023-03,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-events,2023-03,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-cd,2023-03,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2023-03,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-workflows,2023-02,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-rollouts,2023-02,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-events,2023-02,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-cd,2023-02,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2023-02,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-workflows,2023-01,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-rollouts,2023-01,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-events,2023-01,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
